AP NAME,Latitude,Longitude,Type,BSSID
VictoriaSq_cnw_rap,-34.928129,138.599695,Outdoor,50:17:ff:dc:98:40
WaymouthSt115,-34.925987,138.595481,Outdoor,50:17:ff:dc:96:80
227_Espresso_Cafe,-34.921521,138.604316,Indoor,
Adelaide_Central_Plaza1,-34.921654,138.60314,Indoor,
Adelaide_Central_Plaza2,-34.922395,138.603228,Indoor,
Adelaide_Rowing_Club,-34.919968,138.594994,Indoor,
Adelaide_Festival_Centre,-34.921521,138.604316,Indoor,
Adelaide_South_West_Comm,-34.919968,138.594994,Indoor,
Arab_Steed,-34.93337,138.61225,Indoor,
Avila_Coffee,-34.92354,138.60655,Indoor,
Bean_Bar_Gouger,-34.9301,138.597723,Indoor,
Bean_Bar_James_Place,-34.92356,138.60034,Indoor,
Benjamin_On_Franklin,-34.927814,138.590347,Indoor,
Bostons_Cafe,-34.924012,138.602634,Indoor,
Botanic_Cafe,-34.92124,138.61063,Indoor,
Botanic_Gardens_Kiosk,-34.917903,138.609835,Indoor,
Box_Factory_Community_Centre,-34.931671,138.60848,Indoor,
BTS_Cafe,-34.925807,138.600964,Indoor,
Cafe_Amore,-34.92533,138.60602,Indoor,
Cafe_Brunelli,-34.922739,138.60671,Indoor,
Caffe_LIncontro,-34.923534,138.603853,Indoor,
Caffe_Teca,-34.90555,138.598339,Indoor,
Calvary_Hospitals,-34.90555,138.598339,Indoor,
Chinatown_Espresso,-34.930176,138.596001,Indoor,
Chocolate_Bean,-34.923241,138.608642,Indoor,
Cibo_Espresso_Gouger,-34.930354,138.597657,Indoor,
Cibo_Espresso_King_William,-34.9245,138.59982,Indoor,
Cibo_Espresso_Melbourne_St,-34.90779,138.60558,Indoor,
Cibo_Espresso_Pirie_St,-34.925745,138.60347,Indoor,
Cibo_Espresso_Rundle,-34.922491,138.607692,Indoor,
Cocolat_Wicked_Desserts,-34.922572,138.60999,Indoor,
CocolatDesserts2,-34.922834,138.61004,Indoor,
Colonel_Light_Centre,-34.92571,138.60095,Indoor,
Colonel_Light_Centre2,-34.92571,138.60095,Indoor,
Crown_and_Anchor_Hotel,-34.92376,138.60849,Indoor,
Deli_on_Pulteney,-34.923381,138.605797,Indoor,
Duke_of_Brunswick_Hotel,-34.934953,138.592463,Indoor,
Earl_of_Aberdeen_Hotel,-34.93111,138.606358,Indoor,
East_Terrace_Continental_Cafe,-34.92157,138.610624,Indoor,
Ecco_Espresso_Bar,-34.9295,138.59885,Indoor,
Exeter_Hotel,-34.922426,138.608855,Indoor,
Fiefys,-34.92612,138.60158,Indoor,
Funk_Coffee_Pirie_St,-34.925754,138.605082,Indoor,
Gilbert_Street_Hotel,-34.93437,138.59711,Indoor,
Hackney_Hotel,-34.91024,138.61326,Indoor,
Halifax_Cafe,-34.9326,138.608857,Indoor,
International_Food_Plaza,-34.930239,138.595799,Indoor,
Jackpots_on_Hindley,-34.92316,138.5986,Indoor,
Jarvis_Subaru,-34.93519,138.58857,Indoor,
Joy_Discovery,-34.92275,138.60755,Indoor,
Kentish_Arms_Hotel,-34.904595,138.609159,Indoor,
Kings_Head,-34.93242,138.60014,Indoor,
Lime2_Cafe,-34.92544,138.59452,Indoor,
Love_Adelaide,-34.92373,138.59288,Indoor,
Mana_Cafe,-34.92526,138.5992,Indoor,
Mapo,-34.9301,138.59517,Indoor,
Metropolitan_Hotel,-34.92857,138.597478,Indoor,
Munooshi_Cafe,-34.92322,138.61068,Indoor,
Nano_Ready_2_Go,-34.923024,138.609035,Indoor,
On_The_Run_C-Coffee,-34.92194,138.59804,Indoor,
Oxford_Hotel,-34.905862,138.595643,Indoor,
Panacea,-34.932634,138.603066,Indoor,
Piazza 99,-34.924981,138.601929,Indoor,
Pour_24,-34.923487,138.595265,Indoor,
Pranzo,-34.92555,138.60053,Indoor,
QC on Angas,-34.930326,138.601018,Indoor,
Queens_Theatre,-34.925559,138.595602,Indoor,
Rigonis_Bistro,-34.92401,138.59766,Indoor,
Royal_Oak_Hotel,-34.9052,138.59541,Indoor,
Rymill_Park_Kiosk,-34.92427,138.61413,Indoor,
SA_German_Association,-34.926878,138.608995,Indoor,
Scootz_Cafe,-34.93376,138.60643,Indoor,
South_Australian_Museum,-34.92072,138.60308,Indoor,
Stax_Subs_and_Coffee,-34.92573,138.59829,Indoor,
Sturt_Street_Snack_Bar,-34.933631,138.589551,Indoor,
Sylvias_Cafe,-34.923444,138.604722,Indoor,
The_Bull_and_Bear,-34.924916,138.599392,Indoor,
The_Elephant_British_Pub,-34.92146,138.60898,Indoor,
The_Greek_on_Halifax,-34.93246,138.60325,Indoor,
The_Lunchroom,-34.924022,138.604517,Indoor,
The_Mars_Bar,-34.930286,138.594726,Indoor,
The_Office_on_Pirie,-34.925461,138.604063,Indoor,
The_Wakefield_Hotel,-34.928255,138.603759,Indoor,
Un_Caffe_Bar_North_Adelaide,-34.907174,138.595943,Indoor,
Viva_Espresso,-34.925567,138.602421,Indoor,
Waymouth_Cafe,-34.925946,138.590649,Indoor,
Wellington_Hotel,-34.90761,138.59259,Indoor,
West_End_Tavern,-34.92354,138.590268,Indoor,
Zouki_Cafe,-34.919622,138.607346,Indoor,

